Name: Chiastolic Slate
Type:  Rocks
Class:  Metamorphic 
Subclass: Slate
Particle Size:  0-75 Micrometer
Sample No.:   slate3.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 462, The Hunt and Salisbury Collection at the U.S. 
Geological Survey, Denver, Co.
Description: This dark lineated rock is composed of porphyroblasts of chiastolic 
andalusite set in a matrix of angular quartz fragments, abundant carbonaceous 
granules, and either muscovite or illite (hydromuscovite) with a few biotite grains 
present as well.  The phyllosilicate shows typical 001 cleavage and nearly 
parallel extinction, but unlike muscovite the birefringence is gray, possibly due 
either to the thinness of the crystals or abundant small carbonaceous material.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.0112	
3.0913	6.0864
3.0895	6.0715
3.0876	6.0568
3.0858	6.0424
3.0840	6.0286
3.0821	6.0156
3.0803	6.0035
3.0785	5.9917
3.0766	5.9798
3.0748	5.9673
3.0730	5.9540
3.0712	5.9398
3.0694	5.9249
3.0675	5.9095
3.0657	5.8941
3.0639	5.8790
3.0621	5.8643
3.0603	5.8496
3.0585	5.8349
3.0567	5.8202
3.0549	5.8053
3.0531	5.7901
3.0513	5.7748
3.0495	5.7596
3.0477	5.7444
3.0459	5.7302
3.0441	5.7170
3.0423	5.7049
3.0406	5.6938
3.0388	5.6838
3.0370	5.6748
3.0352	5.6663
3.0334	5.6582
3.0317	5.6500
3.0299	5.6412
3.0281	5.6315
3.0264	5.6203
3.0246	5.6080
3.0228	5.5948
3.0211	5.5822
3.0193	5.5709
3.0176	5.5623
3.0158	5.5571
3.0140	5.5555
3.0123	5.5566
3.0105	5.5593
3.0088	5.5619
3.0070	5.5630
3.0053	5.5611
3.0036	5.5559
3.0018	5.5474
3.0001	5.5368
2.9984	5.5251
2.9966	5.5140
2.9949	5.5053
2.9932	5.4991
2.9914	5.4965
2.9897	5.4967
2.9880	5.4991
2.9863	5.5022
2.9845	5.5050
2.9828	5.5064
2.9811	5.5057
2.9794	5.5027
2.9777	5.4977
2.9760	5.4915
2.9743	5.4854
2.9726	5.4797
2.9709	5.4749
2.9692	5.4712
2.9675	5.4681
2.9658	5.4652
2.9641	5.4619
2.9624	5.4581
2.9607	5.4536
2.9590	5.4487
2.9573	5.4432
2.9556	5.4378
2.9539	5.4323
2.9523	5.4271
2.9506	5.4219
2.9489	5.4165
2.9472	5.4103
2.9455	5.4034
2.9439	5.3958
2.9422	5.3880
2.9405	5.3807
2.9389	5.3748
2.9372	5.3707
2.9355	5.3693
2.9339	5.3703
2.9322	5.3729
2.9306	5.3767
2.9289	5.3805
2.9272	5.3835
2.9256	5.3852
2.9239	5.3857
2.9223	5.3852
2.9207	5.3842
2.9190	5.3842
2.9174	5.3854
2.9157	5.3885
2.9141	5.3935
2.9124	5.4001
2.9108	5.4084
2.9092	5.4176
2.9075	5.4273
2.9059	5.4371
2.9043	5.4458
2.9027	5.4539
2.9010	5.4612
2.8994	5.4678
2.8978	5.4752
2.8962	5.4832
2.8946	5.4929
2.8929	5.5045
2.8913	5.5178
2.8897	5.5323
2.8881	5.5472
2.8865	5.5614
2.8849	5.5742
2.8833	5.5848
2.8817	5.5926
2.8801	5.5976
2.8785	5.6000
2.8769	5.6007
2.8753	5.6007
2.8737	5.6012
2.8721	5.6031
2.8705	5.6061
2.8689	5.6102
2.8673	5.6147
2.8658	5.6182
2.8642	5.6201
2.8626	5.6199
2.8610	5.6180
2.8594	5.6154
2.8579	5.6123
2.8563	5.6099
2.8547	5.6083
2.8531	5.6076
2.8516	5.6066
2.8500	5.6052
2.8484	5.6021
2.8469	5.5971
2.8453	5.5903
2.8437	5.5817
2.8422	5.5718
2.8406	5.5611
2.8391	5.5498
2.8375	5.5377
2.8360	5.5254
2.8344	5.5124
2.8329	5.4989
2.8313	5.4856
2.8298	5.4723
2.8282	5.4600
2.8267	5.4487
2.8252	5.4382
2.8236	5.4290
2.8221	5.4207
2.8205	5.4131
2.8190	5.4060
2.8175	5.3982
2.8159	5.3899
2.8144	5.3800
2.8129	5.3689
2.8114	5.3568
2.8098	5.3445
2.8083	5.3333
2.8068	5.3241
2.8053	5.3179
2.8038	5.3146
2.8022	5.3137
2.8007	5.3141
2.7992	5.3144
2.7977	5.3130
2.7962	5.3082
2.7947	5.2997
2.7932	5.2864
2.7917	5.2687
2.7902	5.2469
2.7887	5.2216
2.7872	5.1929
2.7857	5.1607
2.7842	5.1247
2.7827	5.0844
2.7812	5.0402
2.7797	4.9918
2.7782	4.9402
2.7767	4.8865
2.7752	4.8308
2.7738	4.7737
2.7723	4.7155
2.7708	4.6556
2.7693	4.5940
2.7678	4.5319
2.7664	4.4706
2.7649	4.4121
2.7634	4.3591
2.7619	4.3145
2.7605	4.2807
2.7590	4.2601
2.7575	4.2537
2.7561	4.2622
2.7546	4.2849
2.7531	4.3200
2.7517	4.3648
2.7502	4.4161
2.7488	4.4716
2.7473	4.5289
2.7458	4.5878
2.7444	4.6487
2.7429	4.7143
2.7415	4.7863
2.7400	4.8677
2.7386	4.9601
2.7371	5.0636
2.7357	5.1775
2.7343	5.2992
2.7328	5.4262
2.7314	5.5555
2.7299	5.6855
2.7285	5.8152
2.7271	5.9453
2.7256	6.0772
2.7242	6.2122
2.7228	6.3512
2.7213	6.4918
2.7199	6.6304
2.7185	6.7604
2.7171	6.8750
2.7156	6.9685
2.7142	7.0384
2.7128	7.0851
2.7114	7.1128
2.7100	7.1279
2.7085	7.1381
2.7071	7.1504
2.7057	7.1696
2.7043	7.1992
2.7029	7.2397
2.7015	7.2906
2.7001	7.3503
2.6987	7.4164
2.6973	7.4862
2.6959	7.5573
2.6945	7.6269
2.6931	7.6932
2.6917	7.7536
2.6903	7.8066
2.6889	7.8514
2.6875	7.8872
2.6861	7.9139
2.6847	7.9331
2.6833	7.9461
2.6819	7.9549
2.6805	7.9606
2.6791	7.9646
2.6778	7.9665
2.6764	7.9658
2.6750	7.9627
2.6736	7.9575
2.6722	7.9518
2.6709	7.9485
2.6695	7.9511
2.6681	7.9620
2.6667	7.9824
2.6654	8.0110
2.6640	8.0449
2.6626	8.0792
2.6613	8.1100
2.6599	8.1337
2.6585	8.1493
2.6572	8.1576
2.6558	8.1609
2.6545	8.1616
2.6531	8.1626
2.6517	8.1649
2.6504	8.1697
2.6490	8.1761
2.6477	8.1834
2.6463	8.1912
2.6450	8.1986
2.6436	8.2052
2.6423	8.2109
2.6409	8.2147
2.6396	8.2166
2.6382	8.2159
2.6369	8.2118
2.6356	8.2057
2.6342	8.1981
2.6329	8.1910
2.6315	8.1860
2.6302	8.1844
2.6289	8.1865
2.6275	8.1905
2.6262	8.1950
2.6249	8.1976
2.6236	8.1974
2.6222	8.1950
2.6209	8.1919
2.6196	8.1910
2.6183	8.1938
2.6169	8.2005
2.6156	8.2097
2.6143	8.2187
2.6130	8.2244
2.6117	8.2248
2.6103	8.2206
2.6090	8.2135
2.6077	8.2069
2.6064	8.2040
2.6051	8.2061
2.6038	8.2123
2.6025	8.2196
2.6012	8.2248
2.5999	8.2260
2.5986	8.2230
2.5973	8.2180
2.5960	8.2149
2.5947	8.2166
2.5934	8.2239
2.5921	8.2357
2.5908	8.2488
2.5895	8.2594
2.5882	8.2658
2.5869	8.2680
2.5856	8.2680
2.5843	8.2684
2.5830	8.2720
2.5817	8.2788
2.5805	8.2878
2.5792	8.2971
2.5779	8.3039
2.5766	8.3077
2.5753	8.3084
2.5741	8.3075
2.5728	8.3063
2.5715	8.3061
2.5702	8.3068
2.5690	8.3077
2.5677	8.3084
2.5664	8.3084
2.5651	8.3077
2.5639	8.3073
2.5626	8.3087
2.5613	8.3127
2.5601	8.3198
2.5588	8.3286
2.5575	8.3385
2.5563	8.3475
2.5550	8.3549
2.5538	8.3596
2.5525	8.3624
2.5513	8.3639
2.5500	8.3658
2.5487	8.3688
2.5475	8.3736
2.5462	8.3802
2.5450	8.3875
2.5437	8.3946
2.5425	8.3996
2.5413	8.4015
2.5400	8.3996
2.5388	8.3949
2.5375	8.3890
2.5363	8.3838
2.5350	8.3816
2.5338	8.3838
2.5326	8.3901
2.5313	8.3989
2.5301	8.4084
2.5289	8.4162
2.5276	8.4212
2.5264	8.4228
2.5252	8.4221
2.5239	8.4205
2.5227	8.4193
2.5215	8.4188
2.5202	8.4200
2.5190	8.4221
2.5178	8.4254
2.5166	8.4297
2.5154	8.4351
2.5141	8.4418
2.5129	8.4494
2.5117	8.4567
2.5105	8.4628
2.5093	8.4664
2.5081	8.4671
2.5068	8.4643
2.5056	8.4595
2.5044	8.4539
2.5032	8.4486
2.5020	8.4451
2.5008	8.4441
2.4996	8.4456
2.4984	8.4491
2.4972	8.4541
2.4960	8.4602
2.4948	8.4666
2.4936	8.4726
2.4924	8.4780
2.4912	8.4823
2.4900	8.4849
2.4888	8.4861
2.4876	8.4856
2.4864	8.4842
2.4852	8.4823
2.4840	8.4808
2.4828	8.4806
2.4816	8.4813
2.4805	8.4832
2.4793	8.4861
2.4781	8.4891
2.4769	8.4920
2.4757	8.4939
2.4745	8.4953
2.4734	8.4960
2.4722	8.4965
2.4710	8.4972
2.4698	8.4981
2.4686	8.4996
2.4675	8.5015
2.4663	8.5033
2.4651	8.5052
2.4640	8.5076
2.4628	8.5104
2.4616	8.5138
2.4604	8.5178
2.4593	8.5218
2.4581	8.5256
2.4569	8.5282
2.4558	8.5292
2.4546	8.5289
2.4535	8.5275
2.4523	8.5258
2.4511	8.5244
2.4500	8.5239
2.4488	8.5242
2.4477	8.5254
2.4465	8.5273
2.4454	8.5292
2.4442	8.5315
2.4431	8.5337
2.4419	8.5365
2.4408	8.5393
2.4396	8.5427
2.4385	8.5457
2.4373	8.5486
2.4362	8.5507
2.4350	8.5521
2.4339	8.5531
2.4327	8.5540
2.4316	8.5557
2.4305	8.5585
2.4293	8.5623
2.4282	8.5670
2.4270	8.5718
2.4259	8.5756
2.4248	8.5777
2.4236	8.5782
2.4225	8.5770
2.4214	8.5749
2.4202	8.5732
2.4191	8.5727
2.4180	8.5742
2.4169	8.5777
2.4157	8.5827
2.4146	8.5886
2.4135	8.5943
2.4124	8.5990
2.4112	8.6026
2.4101	8.6052
2.4090	8.6075
2.4079	8.6101
2.4068	8.6139
2.4056	8.6182
2.4045	8.6227
2.4034	8.6258
2.4023	8.6265
2.4012	8.6241
2.4001	8.6191
2.3990	8.6125
2.3979	8.6064
2.3967	8.6019
2.3956	8.6009
2.3945	8.6038
2.3934	8.6097
2.3923	8.6175
2.3912	8.6255
2.3901	8.6324
2.3890	8.6371
2.3879	8.6398
2.3868	8.6407
2.3857	8.6405
2.3846	8.6402
2.3835	8.6402
2.3824	8.6409
2.3813	8.6421
2.3802	8.6435
2.3791	8.6450
2.3781	8.6461
2.3770	8.6471
2.3759	8.6471
2.3748	8.6466
2.3737	8.6450
2.3726	8.6426
2.3715	8.6395
2.3704	8.6360
2.3694	8.6319
2.3683	8.6284
2.3672	8.6251
2.3661	8.6227
2.3650	8.6213
2.3640	8.6210
2.3629	8.6220
2.3618	8.6239
2.3607	8.6260
2.3597	8.6274
2.3586	8.6279
2.3575	8.6274
2.3564	8.6263
2.3554	8.6253
2.3543	8.6258
2.3532	8.6284
2.3522	8.6338
2.3511	8.6412
2.3500	8.6495
2.3490	8.6573
2.3479	8.6634
2.3468	8.6675
2.3458	8.6691
2.3447	8.6691
2.3436	8.6682
2.3426	8.6675
2.3415	8.6677
2.3405	8.6696
2.3394	8.6722
2.3384	8.6755
2.3373	8.6786
2.3363	8.6810
2.3352	8.6819
2.3342	8.6821
2.3331	8.6817
2.3321	8.6812
2.3310	8.6807
2.3300	8.6805
2.3289	8.6807
2.3279	8.6814
2.3268	8.6826
2.3258	8.6847
2.3247	8.6878
2.3237	8.6923
2.3226	8.6980
2.3216	8.7042
2.3206	8.7096
2.3195	8.7134
2.3185	8.7148
2.3175	8.7139
2.3164	8.7108
2.3154	8.7077
2.3144	8.7058
2.3133	8.7070
2.3123	8.7120
2.3113	8.7200
2.3102	8.7295
2.3092	8.7385
2.3082	8.7451
2.3071	8.7494
2.3061	8.7518
2.3051	8.7537
2.3041	8.7570
2.3030	8.7627
2.3020	8.7705
2.3010	8.7788
2.3000	8.7859
2.2990	8.7897
2.2979	8.7894
2.2969	8.7856
2.2959	8.7797
2.2949	8.7736
2.2939	8.7688
2.2929	8.7664
2.2918	8.7664
2.2908	8.7686
2.2898	8.7719
2.2888	8.7757
2.2878	8.7790
2.2868	8.7818
2.2858	8.7842
2.2848	8.7861
2.2838	8.7878
2.2828	8.7899
2.2818	8.7927
2.2808	8.7965
2.2798	8.8008
2.2787	8.8050
2.2777	8.8084
2.2767	8.8098
2.2757	8.8091
2.2747	8.8065
2.2738	8.8036
2.2728	8.8020
2.2718	8.8034
2.2708	8.8081
2.2698	8.8155
2.2688	8.8240
2.2678	8.8311
2.2668	8.8351
2.2658	8.8349
2.2648	8.8306
2.2638	8.8240
2.2628	8.8167
2.2618	8.8103
2.2609	8.8060
2.2599	8.8036
2.2589	8.8027
2.2579	8.8024
2.2569	8.8017
2.2559	8.8005
2.2550	8.7991
2.2540	8.7977
2.2530	8.7963
2.2520	8.7956
2.2510	8.7953
2.2501	8.7958
2.2491	8.7972
2.2481	8.7996
2.2471	8.8039
2.2462	8.8093
2.2452	8.8162
2.2442	8.8233
2.2433	8.8299
2.2423	8.8351
2.2413	8.8387
2.2403	8.8401
2.2394	8.8401
2.2384	8.8391
2.2374	8.8377
2.2365	8.8365
2.2355	8.8356
2.2345	8.8354
2.2336	8.8358
2.2326	8.8370
2.2317	8.8387
2.2307	8.8410
2.2297	8.8441
2.2288	8.8486
2.2278	8.8543
2.2269	8.8614
2.2259	8.8690
2.2250	8.8756
2.2240	8.8801
2.2231	8.8808
2.2221	8.8773
2.2211	8.8697
2.2202	8.8595
2.2192	8.8486
2.2183	8.8391
2.2173	8.8330
2.2164	8.8313
2.2155	8.8342
2.2145	8.8401
2.2136	8.8477
2.2126	8.8553
2.2117	8.8614
2.2107	8.8657
2.2098	8.8680
2.2088	8.8695
2.2079	8.8706
2.2070	8.8723
2.2060	8.8747
2.2051	8.8775
2.2041	8.8804
2.2032	8.8830
2.2023	8.8853
2.2013	8.8882
2.2004	8.8917
2.1995	8.8965
2.1985	8.9024
2.1976	8.9083
2.1967	8.9135
2.1957	8.9164
2.1948	8.9156
2.1939	8.9114
2.1930	8.9040
2.1920	8.8950
2.1911	8.8870
2.1902	8.8818
2.1893	8.8813
2.1883	8.8858
2.1874	8.8950
2.1865	8.9074
2.1856	8.9204
2.1846	8.9317
2.1837	8.9393
2.1828	8.9422
2.1819	8.9403
2.1810	8.9343
2.1800	8.9263
2.1791	8.9180
2.1782	8.9114
2.1773	8.9081
2.1764	8.9085
2.1755	8.9128
2.1746	8.9206
2.1736	8.9306
2.1727	8.9417
2.1718	8.9533
2.1709	8.9649
2.1700	8.9758
2.1691	8.9864
2.1682	8.9957
2.1673	9.0033
2.1664	9.0085
2.1655	9.0108
2.1646	9.0106
2.1637	9.0087
2.1628	9.0063
2.1619	9.0049
2.1610	9.0056
2.1601	9.0085
2.1592	9.0125
2.1583	9.0168
2.1574	9.0196
2.1565	9.0206
2.1556	9.0194
2.1547	9.0168
2.1538	9.0130
2.1529	9.0080
2.1520	9.0018
2.1511	8.9943
2.1502	8.9853
2.1493	8.9763
2.1484	8.9687
2.1475	8.9647
2.1466	8.9656
2.1458	8.9725
2.1449	8.9846
2.1440	9.0002
2.1431	9.0170
2.1422	9.0331
2.1413	9.0464
2.1404	9.0558
2.1396	9.0603
2.1387	9.0601
2.1378	9.0556
2.1369	9.0483
2.1360	9.0393
2.1352	9.0307
2.1343	9.0239
2.1334	9.0198
2.1325	9.0184
2.1316	9.0189
2.1308	9.0198
2.1299	9.0208
2.1290	9.0213
2.1281	9.0210
2.1273	9.0201
2.1264	9.0182
2.1255	9.0153
2.1247	9.0113
2.1238	9.0066
2.1229	9.0023
2.1220	8.9999
2.1212	9.0016
2.1203	9.0073
2.1194	9.0168
2.1186	9.0274
2.1177	9.0362
2.1168	9.0412
2.1160	9.0416
2.1151	9.0381
2.1143	9.0333
2.1134	9.0305
2.1125	9.0312
2.1117	9.0359
2.1108	9.0433
2.1100	9.0509
2.1091	9.0565
2.1082	9.0592
2.1074	9.0587
2.1065	9.0563
2.1057	9.0535
2.1048	9.0511
2.1040	9.0494
2.1031	9.0483
2.1023	9.0468
2.1014	9.0452
2.1005	9.0438
2.0997	9.0430
2.0988	9.0442
2.0980	9.0478
2.0971	9.0530
2.0963	9.0594
2.0955	9.0655
2.0946	9.0705
2.0938	9.0736
2.0929	9.0745
2.0921	9.0734
2.0912	9.0705
2.0904	9.0665
2.0895	9.0625
2.0887	9.0599
2.0879	9.0601
2.0870	9.0637
2.0862	9.0710
2.0853	9.0814
2.0845	9.0916
2.0837	9.1030
2.0828	9.1115
2.0820	9.1113
2.0812	9.1205
2.0803	9.1051
2.0795	9.0897
2.0760	9.0897
2.0720	9.0897
2.0680	9.0836
2.0640	9.0836
2.0600	9.1722
2.0560	9.0836
2.0520	9.0775
2.0480	9.1538
2.0440	9.0534
2.0400	9.1416
2.0360	9.1234
2.0320	9.0931
2.0280	9.0751
2.0240	9.0811
2.0200	9.0931
2.0160	9.0871
2.0120	9.0691
2.0080	9.0572
2.0040	9.0452
2.0000	9.0393
1.9960	9.0215
1.9920	9.0274
1.9880	9.0156
1.9840	9.1081
1.9800	9.0038
1.9760	8.9862
1.9720	8.9803
1.9680	8.9745
1.9640	9.0546
1.9600	9.0723
1.9560	9.0783
1.9520	9.0723
1.9480	9.0664
1.9440	8.9745
1.9400	9.0723
1.9360	9.0038
1.9320	9.1133
1.9280	9.0572
1.9240	9.0751
1.9200	9.0751
1.9160	9.0691
1.9120	9.0691
1.9080	9.0691
1.9040	9.1133
1.9000	9.0723
1.8960	9.1047
1.8920	9.0752
1.8880	9.0661
1.8840	8.9527
1.8800	9.0693
1.8760	9.1284
1.8720	9.2006
1.8680	9.2127
1.8640	9.1945
1.8600	9.1404
1.8560	9.1600
1.8520	9.1482
1.8480	9.0719
1.8440	9.1185
1.8400	9.0856
1.8360	9.1032
1.8320	9.1717
1.8280	9.1010
1.8240	9.2354
1.8200	9.1941
1.8160	9.1883
1.8120	9.2603
1.8080	9.2544
1.8040	9.1824
1.8000	9.2721
1.7960	9.2426
1.7920	9.2544
1.7880	9.2603
1.7840	9.2603
1.7800	9.2721
1.7760	9.2603
1.7720	9.2485
1.7680	9.3225
1.7640	9.3225
1.7600	9.2426
1.7560	9.3260
1.7520	9.2192
1.7480	9.2075
1.7440	9.2250
1.7400	9.2367
1.7360	9.2900
1.7320	9.3079
1.7280	9.3198
1.7240	9.3198
1.7200	9.3981
1.7160	9.4577
1.7120	9.3739
1.7080	9.2814
1.7040	9.4334
1.7000	9.3238
1.6960	9.3415
1.6920	9.3238
1.6880	9.3356
1.6840	9.2946
1.6800	9.6001
1.6760	9.4274
1.6720	9.3474
1.6680	9.5142
1.6640	9.3415
1.6600	9.3474
1.6560	9.3356
1.6520	9.3062
1.6480	9.3238
1.6440	9.5567
1.6400	9.5323
1.6360	9.5323
1.6320	9.5506
1.6280	9.5384
1.6240	9.5263
1.6200	9.5142
1.6160	9.3121
1.6120	9.4841
1.6080	9.5202
1.6040	9.5506
1.6000	9.5567
1.5960	9.6280
1.5920	9.6465
1.5880	9.5506
1.5840	9.6465
1.5800	9.6713
1.5760	9.4970
1.5720	9.4851
1.5680	9.3721
1.5640	9.3317
1.5600	9.3917
1.5560	9.4686
1.5520	9.4920
1.5480	9.5156
1.5440	9.5097
1.5400	9.4803
1.5360	9.5333
1.5320	9.6406
1.5280	9.5571
1.5240	9.6286
1.5200	9.6046
1.5160	9.5927
1.5120	9.6106
1.5080	9.5750
1.5040	9.6110
1.5000	9.6718
1.4960	9.5928
1.4920	9.5001
1.4880	9.5664
1.4840	9.5546
1.4800	9.4420
1.4760	9.4305
1.4720	9.4247
1.4680	9.5841
1.4640	9.6980
1.4600	9.5841
1.4560	9.6679
1.4520	9.6500
1.4480	9.6321
1.4440	9.6560
1.4400	9.6050
1.4360	9.6168
1.4320	9.6286
1.4280	9.7970
1.4240	9.7789
1.4200	9.7729
1.4160	9.7729
1.4120	9.8031
1.4080	9.7465
1.4040	9.7771
1.4000	9.6940
1.3960	9.7000
1.3920	9.8579
1.3880	9.6404
1.3840	9.8152
1.3800	9.8886
1.3760	9.9196
1.3720	9.9143
1.3680	9.8719
1.3640	9.8239
1.3600	9.9879
1.3560	9.9755
1.3520	9.9739
1.3480	9.7424
1.3440	9.9087
1.3400	9.8794
1.3360	9.8911
1.3320	10.016
1.3280	10.028
1.3240	9.9537
1.3200	10.040
1.3160	9.9537
1.3120	9.9478
1.3080	10.037
1.3040	10.025
1.3000	10.025
1.2960	10.025
1.2920	10.043
1.2880	10.055
1.2840	10.085
1.2800	10.037
1.2760	10.073
1.2720	10.073
1.2680	10.091
1.2640	10.020
1.2600	10.111
1.2560	10.008
1.2520	10.008
1.2480	10.093
1.2440	10.148
1.2400	10.066
1.2360	9.9810
1.2320	10.078
1.2280	10.101
1.2240	10.078
1.2200	10.162
1.2160	10.356
1.2120	10.338
1.2080	10.313
1.2040	10.313
1.2000	10.313
1.1960	10.226
1.1920	10.298
1.1880	10.130
1.1840	10.125
1.1800	10.209
1.1760	10.191
1.1720	10.180
1.1680	10.180
1.1640	10.100
1.1600	10.197
1.1560	10.226
1.1520	10.077
1.1480	10.188
1.1440	10.375
1.1400	10.381
1.1360	10.281
1.1320	10.264
1.1280	10.179
1.1240	10.287
1.1200	10.205
1.1160	10.392
1.1120	10.427
1.1080	10.421
1.1040	10.398
1.1000	10.462
1.0960	10.506
1.0920	10.380
1.0880	10.488
1.0840	10.524
1.0800	10.459
1.0760	10.567
1.0720	10.462
1.0680	10.407
1.0640	10.422
1.0600	10.535
1.0560	10.399
1.0520	10.387
1.0480	10.255
1.0440	10.433
1.0400	10.552
1.0360	10.582
1.0320	10.582
1.0280	10.558
1.0240	10.570
1.0200	10.570
1.0160	10.576
1.0120	10.625
1.0080	10.558
1.0040	10.570
1.0000	10.541
0.99600	10.622
0.99200	10.585
0.98800	10.595
0.98400	10.694
0.98000	10.678
0.97600	10.712
0.97200	10.643
0.96800	10.718
0.96400	10.743
0.96000	10.718
0.95600	10.724
0.95200	10.616
0.94800	10.706
0.94400	10.706
0.94000	10.694
0.93600	10.682
0.93200	10.688
0.92800	10.652
0.92400	10.917
0.92000	10.831
0.91600	10.904
0.91200	10.720
0.90800	10.732
0.90400	10.720
0.90000	10.911
0.89600	10.904
0.89200	10.904
0.88800	10.732
0.88400	10.744
0.88000	10.824
0.87600	10.843
0.87200	10.888
0.86800	10.785
0.86400	10.803
0.86000	10.980
0.85600	10.835
0.85200	10.841
0.84800	11.020
0.84400	10.860
0.84000	10.860
0.83600	10.892
0.83200	10.841
0.82800	10.926
0.82400	10.907
0.82000	11.127
0.81600	11.077
0.81200	11.045
0.80800	10.967
0.80400	11.135
0.80000	11.205
0.79900	11.205
0.79800	11.205
0.79700	11.294
0.79600	11.213
0.79500	11.310
0.79400	11.592
0.79300	11.294
0.79200	11.302
0.79100	11.389
0.79000	11.600
0.78900	11.497
0.78800	11.481
0.78700	11.294
0.78600	11.270
0.78500	11.497
0.78400	11.397
0.78300	11.592
0.78200	11.262
0.78100	11.550
0.78000	11.592
0.77900	11.422
0.77800	11.405
0.77700	11.292
0.77600	11.270
0.77500	11.155
0.77400	11.251
0.77300	11.251
0.77200	11.627
0.77100	11.340
0.77000	11.126
0.76900	11.300
0.76800	11.433
0.76700	11.386
0.76600	11.483
0.76500	11.635
0.76400	11.638
0.76300	11.378
0.76200	11.364
0.76100	11.567
0.76000	11.450
0.75900	11.425
0.75800	11.232
0.75700	11.329
0.75600	11.264
0.75500	11.394
0.75400	11.592
0.75300	11.337
0.75200	11.345
0.75100	11.248
0.75000	11.232
0.74900	11.361
0.74800	11.458
0.74700	11.652
0.74600	11.442
0.74500	11.361
0.74400	11.444
0.74300	11.216
0.74200	11.532
0.74100	11.723
0.74000	11.530
0.73900	11.394
0.73800	11.394
0.73700	11.264
0.73600	11.427
0.73500	11.264
0.73400	11.297
0.73300	11.575
0.73200	11.687
0.73100	11.635
0.73000	11.612
0.72900	11.567
0.72800	11.495
0.72700	11.487
0.72600	11.512
0.72500	11.512
0.72400	11.478
0.72300	11.478
0.72200	11.546
0.72100	11.389
0.72000	11.338
0.71900	11.680
0.71800	11.590
0.71700	11.580
0.71600	11.643
0.71500	11.590
0.71400	11.590
0.71300	11.512
0.71200	11.712
0.71100	11.634
0.71000	11.669
0.70900	11.741
0.70800	11.661
0.70700	11.608
0.70600	11.527
0.70500	11.536
0.70400	11.464
0.70300	11.632
0.70200	11.632
0.70100	11.538
0.70000	11.482
0.69900	11.659
0.69800	11.669
0.69700	11.861
0.69600	11.823
0.69500	11.742
0.69400	11.641
0.69300	11.733
0.69200	11.705
0.69100	11.642
0.69000	11.833
0.68900	11.961
0.68800	11.942
0.68700	11.742
0.68600	11.742
0.68500	11.660
0.68400	11.742
0.68300	11.842
0.68200	11.733
0.68100	11.733
0.68000	11.861
0.67900	11.870
0.67800	11.861
0.67700	11.541
0.67600	11.742
0.67500	11.870
0.67400	11.870
0.67300	11.971
0.67200	11.833
0.67100	11.989
0.67000	11.980
0.66900	11.889
0.66800	11.778
0.66700	11.778
0.66600	11.870
0.66500	11.760
0.66400	11.733
0.66300	11.723
0.66200	11.705
0.66100	11.705
0.66000	11.889
0.65900	12.038
0.65800	11.937
0.65700	11.614
0.65600	11.870
0.65500	11.779
0.65400	11.861
0.65300	12.042
0.65200	11.742
0.65100	11.923
0.65000	11.805
0.64900	11.678
0.64800	11.678
0.64700	11.778
0.64600	12.038
0.64500	11.936
0.64400	12.139
0.64300	12.019
0.64200	11.971
0.64100	11.861
0.64000	12.029
0.63900	12.212
0.63800	11.980
0.63700	11.933
0.63600	11.705
0.63500	11.833
0.63400	11.842
0.63300	11.833
0.63200	11.823
0.63100	11.870
0.63000	11.942
0.62900	11.923
0.62800	11.814
0.62700	11.814
0.62600	11.923
0.62500	11.870
0.62400	11.961
0.62300	12.033
0.62200	12.013
0.62100	12.103
0.62000	11.980
0.61900	12.048
0.61800	12.097
0.61700	12.067
0.61600	12.038
0.61500	12.120
0.61400	12.081
0.61300	12.042
0.61200	12.120
0.61100	12.038
0.61000	12.029
0.60900	12.019
0.60800	12.009
0.60700	11.908
0.60600	11.723
0.60500	11.816
0.60400	11.917
0.60300	12.038
0.60200	11.966
0.60100	11.911
0.60000	11.968
0.59900	11.792
0.59800	11.978
0.59700	11.820
0.59600	11.849
0.59500	11.868
0.59400	11.997
0.59300	11.868
0.59200	12.163
0.59100	12.153
0.59000	11.839
0.58900	11.917
0.58800	12.163
0.58700	12.143
0.58600	11.956
0.58500	12.105
0.58400	12.081
0.58300	12.206
0.58200	12.100
0.58100	11.988
0.58000	12.123
0.57900	12.143
0.57800	12.236
0.57700	12.093
0.57600	11.888
0.57500	12.103
0.57400	12.083
0.57300	12.022
0.57200	12.139
0.57100	12.179
0.57000	12.038
0.56900	11.926
0.56800	12.029
0.56700	11.965
0.56600	12.179
0.56500	12.169
0.56400	12.048
0.56300	12.087
0.56200	12.077
0.56100	11.976
0.56000	12.222
0.55900	12.054
0.55800	12.044
0.55700	12.053
0.55600	11.938
0.55500	11.921
0.55400	11.840
0.55300	12.036
0.55200	11.964
0.55100	11.891
0.55000	11.819
0.54900	12.070
0.54800	11.918
0.54700	11.909
0.54600	12.053
0.54500	12.070
0.54400	11.935
0.54300	12.089
0.54200	12.198
0.54100	11.997
0.54000	12.098
