WKT_PCS
COORD_REF_SYS_CODE,COORD_REF_SYS_NAME,FALSE_EASTING,FALSE_NORTHING,PARAMETER_VALUE_1,PARAMETER_VALUE_2,PARAMETER_VALUE_3,PARAMETER_VALUE_4,UNIT
2798,NAD_1983_HARN_StatePlane_Kentucky_North_FIPS_1601,500000,0,-84.25,37.96666667,38.96666667,37.5,Meter
2799,NAD_1983_HARN_StatePlane_Kentucky_South_FIPS_1602,500000,500000,-85.75,36.73333333,37.93333333,36.33333333,Meter
2800,NAD_1983_HARN_StatePlane_Louisiana_North_FIPS_1701,1000000,0,-92.5,31.16666667,32.66666667,30.5,Meter
2801,NAD_1983_HARN_StatePlane_Louisiana_South_FIPS_1702,1000000,0,-91.33333333,29.3,30.7,28.5,Meter
2802,NAD_1983_HARN_StatePlane_Maine_East_FIPS_1801,300000,0,-68.5,0.9999, ,43.66666667,Meter
2803,NAD_1983_HARN_StatePlane_Maine_West_FIPS_1802,900000,0,-70.16666667,0.999966667, ,42.83333333,Meter
2804,NAD_1983_HARN_StatePlane_Maryland_FIPS_1900,400000,0,-77,38.3,39.45,37.66666667,Meter
2805,NAD_1983_HARN_StatePlane_Massachusetts_Mainland_FIPS_2001,200000,750000,-71.5,41.71666667,42.68333333,41,Meter
2806,NAD_1983_HARN_StatePlane_Massachusetts_Island_FIPS_2002,500000,0,-70.5,41.28333333,41.48333333,41,Meter
2807,NAD_1983_HARN_StatePlane_Michigan_North_FIPS_2111,8000000,0,-87,45.48333333,47.08333333,44.78333333,Meter
2808,NAD_1983_HARN_StatePlane_Michigan_Central_FIPS_2112,6000000,0,-84.36666667,44.18333333,45.7,43.31666667,Meter
2809,NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2113,4000000,0,-84.36666667,42.1,43.66666667,41.5,Meter
2810,NAD_1983_HARN_StatePlane_Minnesota_North_FIPS_2201,800000,100000,-93.1,47.03333333,48.63333333,46.5,Meter
2811,NAD_1983_HARN_StatePlane_Minnesota_Central_FIPS_2202,800000,100000,-94.25,45.61666667,47.05,45,Meter
2812,NAD_1983_HARN_StatePlane_Minnesota_South_FIPS_2203,800000,100000,-94,43.78333333,45.21666667,43,Meter
2813,NAD_1983_HARN_StatePlane_Mississippi_East_FIPS_2301,300000,0,-88.83333333,0.99995, ,29.5,Meter
2814,NAD_1983_HARN_StatePlane_Mississippi_West_FIPS_2302,700000,0,-90.33333333,0.99995, ,29.5,Meter
2815,NAD_1983_HARN_StatePlane_Missouri_East_FIPS_2401,250000,0,-90.5,0.999933333, ,35.83333333,Meter
2816,NAD_1983_HARN_StatePlane_Missouri_Central_FIPS_2402,500000,0,-92.5,0.999933333, ,35.83333333,Meter
2817,NAD_1983_HARN_StatePlane_Missouri_West_FIPS_2403,850000,0,-94.5,0.999941176, ,36.16666667,Meter
2818,NAD_1983_HARN_StatePlane_Montana_FIPS_2500,600000,0,-109.5,45,49,44.25,Meter
2819,NAD_1983_HARN_StatePlane_Nebraska_FIPS_2600,500000,0,-100,40,43,39.83333333,Meter
2820,NAD_1983_HARN_StatePlane_Nevada_East_FIPS_2701,200000,8000000,-115.5833333,0.9999, ,34.75,Meter
2821,NAD_1983_HARN_StatePlane_Nevada_Central_FIPS_2702,500000,6000000,-116.6666667,0.9999, ,34.75,Meter
2822,NAD_1983_HARN_StatePlane_Nevada_West_FIPS_2703,800000,4000000,-118.5833333,0.9999, ,34.75,Meter
2823,NAD_1983_HARN_StatePlane_New_Hampshire_FIPS_2800,300000,0,-71.66666667,0.999966667, ,42.5,Meter
2824,NAD_1983_HARN_StatePlane_New_Jersey_FIPS_2900,150000,0,-74.5,0.9999, ,38.83333333,Meter
2825,NAD_1983_HARN_StatePlane_New_Mexico_East_FIPS_3001,165000,0,-104.3333333,0.999909091, ,31,Meter
2826,NAD_1983_HARN_StatePlane_New_Mexico_Central_FIPS_3002,500000,0,-106.25,0.9999, ,31,Meter
2827,NAD_1983_HARN_StatePlane_New_Mexico_West_FIPS_3003,830000,0,-107.8333333,0.999916667, ,31,Meter
2828,NAD_1983_HARN_StatePlane_New_York_East_FIPS_3101,150000,0,-74.5,0.9999, ,38.83333333,Meter
2829,NAD_1983_HARN_StatePlane_New_York_Central_FIPS_3102,250000,0,-76.58333333,0.9999375, ,40,Meter
2830,NAD_1983_HARN_StatePlane_New_York_West_FIPS_3103,350000,0,-78.58333333,0.9999375, ,40,Meter
2831,NAD_1983_HARN_StatePlane_New_York_Long_Island_FIPS_3104,300000,0,-74,40.66666667,41.03333333,40.16666667,Meter
2832,NAD_1983_HARN_StatePlane_North_Dakota_North_FIPS_3301,600000,0,-100.5,47.43333333,48.73333333,47,Meter
2833,NAD_1983_HARN_StatePlane_North_Dakota_South_FIPS_3302,600000,0,-100.5,46.18333333,47.48333333,45.66666667,Meter
2834,NAD_1983_HARN_StatePlane_Ohio_North_FIPS_3401,600000,0,-82.5,40.43333333,41.7,39.66666667,Meter
2835,NAD_1983_HARN_StatePlane_Ohio_South_FIPS_3402,600000,0,-82.5,38.73333333,40.03333333,38,Meter
2836,NAD_1983_HARN_StatePlane_Oklahoma_North_FIPS_3501,600000,0,-98,35.56666667,36.76666667,35,Meter
2837,NAD_1983_HARN_StatePlane_Oklahoma_South_FIPS_3502,600000,0,-98,33.93333333,35.23333333,33.33333333,Meter
2838,NAD_1983_HARN_StatePlane_Oregon_North_FIPS_3601,2500000,0,-120.5,44.33333333,46,43.66666667,Meter
2839,NAD_1983_HARN_StatePlane_Oregon_South_FIPS_3602,1500000,0,-120.5,42.33333333,44,41.66666667,Meter
2840,NAD_1983_HARN_StatePlane_Rhode_Island_FIPS_3800,100000,0,-71.5,0.99999375, ,41.08333333,Meter
2841,NAD_1983_HARN_StatePlane_South_Dakota_North_FIPS_4001,600000,0,-100,44.41666667,45.68333333,43.83333333,Meter
2842,NAD_1983_HARN_StatePlane_South_Dakota_South_FIPS_4002,600000,0,-100.3333333,42.83333333,44.4,42.33333333,Meter
2843,NAD_1983_HARN_StatePlane_Tennessee_FIPS_4100,600000,0,-86,35.25,36.41666667,34.33333333,Meter
2844,NAD_1983_HARN_StatePlane_Texas_North_FIPS_4201,200000,1000000,-101.5,34.65,36.18333333,34,Meter
2845,NAD_1983_HARN_StatePlane_Texas_North_Central_FIPS_4202,600000,2000000,-98.5,32.13333333,33.96666667,31.66666667,Meter
2846,NAD_1983_HARN_StatePlane_Texas_Central_FIPS_4203,700000,3000000,-100.3333333,30.11666667,31.88333333,29.66666667,Meter
2847,NAD_1983_HARN_StatePlane_Texas_South_Central_FIPS_4204,600000,4000000,-99,28.38333333,30.28333333,27.83333333,Meter
2848,NAD_1983_HARN_StatePlane_Texas_South_FIPS_4205,300000,5000000,-98.5,26.16666667,27.83333333,25.66666667,Meter
2849,NAD_1983_HARN_StatePlane_Utah_North_FIPS_4301,500000,1000000,-111.5,40.71666667,41.78333333,40.33333333,Meter
2850,NAD_1983_HARN_StatePlane_Utah_Central_FIPS_4302,500000,2000000,-111.5,39.01666667,40.65,38.33333333,Meter
2851,NAD_1983_HARN_StatePlane_Utah_South_FIPS_4303,500000,3000000,-111.5,37.21666667,38.35,36.66666667,Meter
2852,NAD_1983_HARN_StatePlane_Vermont_FIPS_4400,500000,0,-72.5,0.999964286, ,42.5,Meter
2853,NAD_1983_HARN_StatePlane_Virginia_North_FIPS_4501,3500000,2000000,-78.5,38.03333333,39.2,37.66666667,Meter
2854,NAD_1983_HARN_StatePlane_Virginia_South_FIPS_4502,3500000,1000000,-78.5,36.76666667,37.96666667,36.33333333,Meter
2855,NAD_1983_HARN_StatePlane_Washington_North_FIPS_4601,500000,0,-120.8333333,47.5,48.73333333,47,Meter
2856,NAD_1983_HARN_StatePlane_Washington_South_FIPS_4602,500000,0,-120.5,45.83333333,47.33333333,45.33333333,Meter
2857,NAD_1983_HARN_StatePlane_West_Virginia_North_FIPS_4701,600000,0,-79.5,39,40.25,38.5,Meter
2858,NAD_1983_HARN_StatePlane_West_Virginia_South_FIPS_4702,600000,0,-81,37.48333333,38.88333333,37,Meter
2859,NAD_1983_HARN_StatePlane_Wisconsin_North_FIPS_4801,600000,0,-90,45.56666667,46.76666667,45.16666667,Meter
2860,NAD_1983_HARN_StatePlane_Wisconsin_Central_FIPS_4802,600000,0,-90,44.25,45.5,43.83333333,Meter
2861,NAD_1983_HARN_StatePlane_Wisconsin_South_FIPS_4803,600000,0,-90,42.73333333,44.06666667,42,Meter
2862,NAD_1983_HARN_StatePlane_Wyoming_East_FIPS_4901,200000,0,-105.1666667,0.9999375, ,40.5,Meter
2863,NAD_1983_HARN_StatePlane_Wyoming_East_Central_FIPS_4902,400000,100000,-107.3333333,0.9999375, ,40.5,Meter
2864,NAD_1983_HARN_StatePlane_Wyoming_West_Central_FIPS_4903,600000,0,-108.75,0.9999375, ,40.5,Meter
2865,NAD_1983_HARN_StatePlane_Wyoming_West_FIPS_4904,800000,100000,-110.0833333,0.9999375, ,40.5,Meter
2866,NAD_1983_HARN_StatePlane_Puerto_Rico_Virgin_Islands_FIPS_5200,200000,200000,-66.43333333,18.03333333,18.43333333,17.83333333,Meter
2867,NAD_1983_HARN_StatePlane_Arizona_East_FIPS_0201_Feet_Intl,700000,0,-110.1666667,0.9999, ,31,Foot
2868,NAD_1983_HARN_StatePlane_Arizona_Central_FIPS_0202_Feet_Intl,700000,0,-111.9166667,0.9999, ,31,Foot
2869,NAD_1983_HARN_StatePlane_Arizona_West_FIPS_0203_Feet_Intl,700000,0,-113.75,0.999933333, ,31,Foot
2870,NAD_1983_HARN_StatePlane_California_I_FIPS_0401_Feet,6561666.667,1640416.667,-122,40,41.66666667,39.33333333,Foot_US
2871,NAD_1983_HARN_StatePlane_California_II_FIPS_0402_Feet,6561666.667,1640416.667,-122,38.33333333,39.83333333,37.66666667,Foot_US
2872,NAD_1983_HARN_StatePlane_California_III_FIPS_0403_Feet,6561666.667,1640416.667,-120.5,37.06666667,38.43333333,36.5,Foot_US
2873,NAD_1983_HARN_StatePlane_California_IV_FIPS_0404_Feet,6561666.667,1640416.667,-119,36,37.25,35.33333333,Foot_US
2874,NAD_1983_HARN_StatePlane_California_V_FIPS_0405_Feet,6561666.667,1640416.667,-118,34.03333333,35.46666667,33.5,Foot_US
2875,NAD_1983_HARN_StatePlane_California_VI_FIPS_0406_Feet,6561666.667,1640416.667,-116.25,32.78333333,33.88333333,32.16666667,Foot_US
2876,NAD_1983_HARN_StatePlane_Colorado_North_FIPS_0501_Feet,3000000,1000000,-105.5,39.71666667,40.78333333,39.33333333,Foot_US
2877,NAD_1983_HARN_StatePlane_Colorado_Central_FIPS_0502_Feet,3000000,1000000,-105.5,38.45,39.75,37.83333333,Foot_US
2878,NAD_1983_HARN_StatePlane_Colorado_South_FIPS_0503_Feet,3000000,1000000,-105.5,37.23333333,38.43333333,36.66666667,Foot_US
2879,NAD_1983_HARN_StatePlane_Connecticut_FIPS_0600_Feet,1000000,500000,-72.75,41.2,41.86666667,40.83333333,Foot_US
2880,NAD_1983_HARN_StatePlane_Delaware_FIPS_0700_Feet,656166.6667,0,-75.41666667,0.999995, ,38,Foot_US
2881,NAD_1983_HARN_StatePlane_Florida_East_FIPS_0901_Feet,656166.6667,0,-81,0.999941176, ,24.33333333,Foot_US
2882,NAD_1983_HARN_StatePlane_Florida_West_FIPS_0902_Feet,656166.6667,0,-82,0.999941176, ,24.33333333,Foot_US
2883,NAD_1983_HARN_StatePlane_Florida_North_FIPS_0903_Feet,1968500,0,-84.5,29.58333333,30.75,29,Foot_US
2884,NAD_1983_HARN_StatePlane_Georgia_East_FIPS_1001_Feet,656166.6667,0,-82.16666667,0.9999, ,30,Foot_US
2885,NAD_1983_HARN_StatePlane_Georgia_West_FIPS_1002_Feet,2296583.333,0,-84.16666667,0.9999, ,30,Foot_US
2886,NAD_1983_HARN_StatePlane_Idaho_East_FIPS_1101_Feet,656166.6667,0,-112.1666667,0.999947368, ,41.66666667,Foot_US
2887,NAD_1983_HARN_StatePlane_Idaho_Central_FIPS_1102_Feet,1640416.667,0,-114,0.999947368, ,41.66666667,Foot_US
2888,NAD_1983_HARN_StatePlane_Idaho_West_FIPS_1103_Feet,2624666.667,0,-115.75,0.999933333, ,41.66666667,Foot_US
2891,NAD_1983_HARN_StatePlane_Kentucky_North_FIPS_1601_Feet,1640416.667,0,-84.25,37.96666667,38.96666667,37.5,Foot_US
2892,NAD_1983_HARN_StatePlane_Kentucky_South_FIPS_1602_Feet,1640416.667,1640416.667,-85.75,36.73333333,37.93333333,36.33333333,Foot_US
2893,NAD_1983_HARN_StatePlane_Maryland_FIPS_1900_Feet,1312333.333,0,-77,38.3,39.45,37.66666667,Foot_US
2894,NAD_1983_HARN_StatePlane_Massachusetts_Mainland_FIPS_2001_Feet,656166.6667,2460625,-71.5,41.71666667,42.68333333,41,Foot_US
2895,NAD_1983_HARN_StatePlane_Massachusetts_Island_FIPS_2002_Feet,1640416.667,0,-70.5,41.28333333,41.48333333,41,Foot_US
2896,NAD_1983_HARN_StatePlane_Michigan_North_FIPS_2111_Feet_Intl,26246719.16,0,-87,45.48333333,47.08333333,44.78333333,Foot
2897,NAD_1983_HARN_StatePlane_Michigan_Central_FIPS_2112_Feet_Intl,19685039.37,0,-84.36666667,44.18333333,45.7,43.31666667,Foot
2898,NAD_1983_HARN_StatePlane_Michigan_South_FIPS_2113_Feet_Intl,13123359.58,0,-84.36666667,42.1,43.66666667,41.5,Foot
2899,NAD_1983_HARN_StatePlane_Mississippi_East_FIPS_2301_Feet,984250,0,-88.83333333,0.99995, ,29.5,Foot_US
2900,NAD_1983_HARN_StatePlane_Mississippi_West_FIPS_2302_Feet,2296583.333,0,-90.33333333,0.99995, ,29.5,Foot_US
2901,NAD_1983_HARN_StatePlane_Montana_FIPS_2500_Feet_Intl,1968503.937,0,-109.5,45,49,44.25,Foot
2902,NAD_1983_HARN_StatePlane_New_Mexico_East_FIPS_3001_Feet,541337.5,0,-104.3333333,0.999909091, ,31,Foot_US
2903,NAD_1983_HARN_StatePlane_New_Mexico_Central_FIPS_3002_Feet,1640416.667,0,-106.25,0.9999, ,31,Foot_US
2904,NAD_1983_HARN_StatePlane_New_Mexico_West_FIPS_3003_Feet,2723091.667,0,-107.8333333,0.999916667, ,31,Foot_US
2905,NAD_1983_HARN_StatePlane_New_York_East_FIPS_3101_Feet,492125,0,-74.5,0.9999, ,38.83333333,Foot_US
2906,NAD_1983_HARN_StatePlane_New_York_Central_FIPS_3102_Feet,820208.3333,0,-76.58333333,0.9999375, ,40,Foot_US
2907,NAD_1983_HARN_StatePlane_New_York_West_FIPS_3103_Feet,1148291.667,0,-78.58333333,0.9999375, ,40,Foot_US
2908,NAD_1983_HARN_StatePlane_New_York_Long_Island_FIPS_3104_Feet,984250,0,-74,40.66666667,41.03333333,40.16666667,Foot_US
2909,NAD_1983_HARN_StatePlane_North_Dakota_North_FIPS_3301_Feet_Intl,1968503.937,0,-100.5,47.43333333,48.73333333,47,Foot
2910,NAD_1983_HARN_StatePlane_North_Dakota_South_FIPS_3302_Feet_Intl,1968503.937,0,-100.5,46.18333333,47.48333333,45.66666667,Foot
2911,NAD_1983_HARN_StatePlane_Oklahoma_North_FIPS_3501_Feet,1968500,0,-98,35.56666667,36.76666667,35,Foot_US
2912,NAD_1983_HARN_StatePlane_Oklahoma_South_FIPS_3502_Feet,1968500,0,-98,33.93333333,35.23333333,33.33333333,Foot_US
2913,NAD_1983_HARN_StatePlane_Oregon_North_FIPS_3601_Feet_Intl,8202099.738,0,-120.5,44.33333333,46,43.66666667,Foot
2914,NAD_1983_HARN_StatePlane_Oregon_South_FIPS_3602_Feet_Intl,4921259.843,0,-120.5,42.33333333,44,41.66666667,Foot
2915,NAD_1983_HARN_StatePlane_Tennessee_FIPS_4100_Feet,1968500,0,-86,35.25,36.41666667,34.33333333,Foot_US
2916,NAD_1983_HARN_StatePlane_Texas_North_FIPS_4201_Feet,656166.6667,3280833.333,-101.5,34.65,36.18333333,34,Foot_US
2917,NAD_1983_HARN_StatePlane_Texas_North_Central_FIPS_4202_Feet,1968500,6561666.667,-98.5,32.13333333,33.96666667,31.66666667,Foot_US
2918,NAD_1983_HARN_StatePlane_Texas_Central_FIPS_4203_Feet,2296583.333,9842500,-100.3333333,30.11666667,31.88333333,29.66666667,Foot_US
2919,NAD_1983_HARN_StatePlane_Texas_South_Central_FIPS_4204_Feet,1968500,13123333.33,-99,28.38333333,30.28333333,27.83333333,Foot_US
2920,NAD_1983_HARN_StatePlane_Texas_South_FIPS_4205_Feet,984250,16404166.67,-98.5,26.16666667,27.83333333,25.66666667,Foot_US
2921,NAD_1983_HARN_StatePlane_Utah_North_FIPS_4301_Feet_Intl,1640419.948,3280839.895,-111.5,40.71666667,41.78333333,40.33333333,Foot
2922,NAD_1983_HARN_StatePlane_Utah_Central_FIPS_4302_Feet_Intl,1640419.948,6561679.79,-111.5,39.01666667,40.65,38.33333333,Foot
2923,NAD_1983_HARN_StatePlane_Utah_South_FIPS_4303_Feet_Intl,1640419.948,9842519.685,-111.5,37.21666667,38.35,36.66666667,Foot
2924,NAD_1983_HARN_StatePlane_Virginia_North_FIPS_4501_Feet,11482916.67,6561666.667,-78.5,38.03333333,39.2,37.66666667,Foot_US
2925,NAD_1983_HARN_StatePlane_Virginia_South_FIPS_4502_Feet,11482916.67,3280833.333,-78.5,36.76666667,37.96666667,36.33333333,Foot_US
2926,NAD_1983_HARN_StatePlane_Washington_North_FIPS_4601_Feet,1640416.667,0,-120.8333333,47.5,48.73333333,47,Foot_US
2927,NAD_1983_HARN_StatePlane_Washington_South_FIPS_4602_Feet,1640416.667,0,-120.5,45.83333333,47.33333333,45.33333333,Foot_US
2928,NAD_1983_HARN_StatePlane_Wisconsin_North_FIPS_4801_Feet,1968500,0,-90,45.56666667,46.76666667,45.16666667,Foot_US
2929,NAD_1983_HARN_StatePlane_Wisconsin_Central_FIPS_4802_Feet,1968500,0,-90,44.25,45.5,43.83333333,Foot_US
2930,NAD_1983_HARN_StatePlane_Wisconsin_South_FIPS_4803_Feet,1968500,0,-90,42.73333333,44.06666667,42,Foot_US
2931,Beduaram_TM_13_NE,500000,0,13,0.9996, ,0,Meter
2932,QND_1995_Qatar_National_Grid,200000,300000,51.21666667,0.99999, ,24.45,Meter
2933,Gunung_Segara_UTM_Zone_50S,500000,10000000,117,0.9996, ,0,Meter
2935,Pulkovo_1942_CS63_Zone_A1,1300000,0,41.53333333,1, ,0.116666667,Meter
2936,Pulkovo_1942_CS63_Zone_A2,2300000,0,44.53333333,1, ,0.116666667,Meter
2937,Pulkovo_1942_CS63_Zone_A3,3300000,0,47.53333333,1, ,0.116666667,Meter
2938,Pulkovo_1942_CS63_Zone_A4,4300000,0,50.53333333,1, ,0.116666667,Meter
2939,Pulkovo_1942_CS63_Zone_K2,2300000,0,50.76666667,1, ,0.133333333,Meter
2940,Pulkovo_1942_CS63_Zone_K3,3300000,0,53.76666667,1, ,0.133333333,Meter
2941,Pulkovo_1942_CS63_Zone_K4,4300000,0,56.76666667,1, ,0.133333333,Meter
2942,Porto_Santo_1936_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
2943,Selvagem_Grande_1938_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
2964,NAD_1927_Alaska_Albers_Feet,0,0,-154,55,65,50,Foot_US
2965,NAD_1983_StatePlane_Indiana_East_FIPS_1301_Feet,328083.3333,820208.3333,-85.66666667,0.999966667, ,37.5,Foot_US
2966,NAD_1983_StatePlane_Indiana_West_FIPS_1302_Feet,2952750,820208.3333,-87.08333333,0.999966667, ,37.5,Foot_US
2967,NAD_1983_HARN_StatePlane_Indiana_East_FIPS_1301_Feet,328083.3333,820208.3333,-85.66666667,0.999966667, ,37.5,Foot_US
2968,NAD_1983_HARN_StatePlane_Indiana_West_FIPS_1302_Feet,2952750,820208.3333,-87.08333333,0.999966667, ,37.5,Foot_US
2969,Fort_Marigot_UTM_20N,500000,0,-63,0.9996, ,0,Meter
2970,Sainte_Anne_UTM_20N,500000,0,-63,0.9996, ,0,Meter
2971,CSG_1967_UTM_22N,500000,0,-51,0.9996, ,0,Meter
2972,RGFG_1995_UTM_22N,500000,0,-51,0.9996, ,0,Meter
2973,Fort_Desaix_UTM_20N,500000,0,-63,0.9996, ,0,Meter
2975,RGR_1992_UTM_40S,500000,10000000,57,0.9996, ,0,Meter
2976,Tahiti_1952_UTM_6S,500000,10000000,-147,0.9996, ,0,Meter
2977,Tahaa_1954_UTM_5S,500000,10000000,-153,0.9996, ,0,Meter
2978,IGN72_Nuku_Hiva_UTM_7S,500000,10000000,-141,0.9996, ,0,Meter
2979,K0_1949_UTM_42S,500000,10000000,69,0.9996, ,0,Meter
2980,Combani_1950_UTM_38S,500000,10000000,45,0.9996, ,0,Meter
2981,IGN56_Lifou_UTM_58S,500000,10000000,165,0.9996, ,0,Meter
2982,IGN72_Grande_Terre_UTM_58S,500000,10000000,165,0.9996, ,0,Meter
2983,ST87_Ouvea_UTM_58S,500000,10000000,165,0.9996, ,0,Meter
2984,RGNC_1991_Lambert_New_Caledonia,400000,300000,166,-20.66666667,-22.33333333,-21.5,Meter
2985,Petrels_1972_Terre_Adelie_Polar_Stereographic,300000,-2299363.488,140,-67,,,Meter
2986,Perroud_1950_Terre_Adelie_Polar_Stereographic,300000,-2299363.488,140,-67,,,Meter
2987,Saint_Pierre_et_Miquelon_1950_UTM_21N,500000,0,-57,0.9996, ,0,Meter
2988,MOP78_UTM_1S,500000,10000000,-177,0.9996, ,0,Meter
2989,RRAF_1991_UTM_20N,500000,0,-63,0.9996, ,0,Meter
2990,Reunion_1947_TM_Reunion,50000,160000,55.53333333,1, ,-21.11666667,Meter
2991,NAD_1983_Oregon_Statewide_Lambert,400000,0,-120.5,43,45.5,41.75,Meter
2992,NAD_1983_Oregon_Statewide_Lambert_Feet_Intl,1312335.958,0,-120.5,43,45.5,41.75,Foot
2993,NAD_1983_HARN_Oregon_Statewide_Lambert,400000,0,-120.5,43,45.5,41.75,Meter
2994,NAD_1983_HARN_Oregon_Statewide_Lambert_Feet_Intl,1312335.958,0,-120.5,43,45.5,41.75,Foot
2995,IGN53_Mare_UTM_58S,500000,10000000,165,0.9996, ,0,Meter
2996,ST84_Ile_des_Pins_UTM_58S,500000,10000000,165,0.9996, ,0,Meter
2997,ST71_Belep_UTM_58S,500000,10000000,165,0.9996, ,0,Meter
2998,NEA74_Noumea_UTM_58S,500000,10000000,165,0.9996, ,0,Meter
2999,Grand_Comoros_UTM_38S,500000,10000000,45,0.9996, ,0,Meter
3000,Gunung_Segara_NEIEZ,3900000,900000,110,4.454051546,,,Meter
3001,Batavia_NEIEZ,3900000,900000,110,4.454051546,,,Meter
3002,Makassar_NEIEZ,3900000,900000,110,4.454051546,,,Meter
3003,Monte_Mario_Italy_1,1500000,0,9,0.9996, ,0,Meter
3004,Monte_Mario_Italy_2,2520000,0,15,0.9996, ,0,Meter
3005,NAD_1983_BC_Environment_Albers,1000000,0,-126,50,58.5,45,Meter
3006,SWEREF99_TM,500000,0,15,0.9996, ,0,Meter
3007,SWEREF99_12_00,150000,0,12,1, ,0,Meter
3008,SWEREF99_13_30,150000,0,13.5,1, ,0,Meter
3009,SWEREF99_15_00,150000,0,15,1, ,0,Meter
3010,SWEREF99_16_30,150000,0,16.5,1, ,0,Meter
3011,SWEREF99_18_00,150000,0,18,1, ,0,Meter
3012,SWEREF99_14_15,150000,0,14.25,1, ,0,Meter
3013,SWEREF99_15_45,150000,0,15.75,1, ,0,Meter
3014,SWEREF99_17_15,150000,0,17.25,1, ,0,Meter
3015,SWEREF99_18_45,150000,0,18.75,1, ,0,Meter
3016,SWEREF99_20_15,150000,0,20.25,1, ,0,Meter
3017,SWEREF99_21_45,150000,0,21.75,1, ,0,Meter
3018,SWEREF99_23_15,150000,0,23.25,1, ,0,Meter
3019,RT90_75_gon_V,1500000,0,11.30827778,1, ,0,Meter
3020,RT90_5_gon_V,1500000,0,13.55827778,1, ,0,Meter
3021,RT90_25_gon_V,1500000,0,15.80827778,1, ,0,Meter
3022,RT90_0_gon,1500000,0,18.05827778,1, ,0,Meter
3023,RT90_25_gon_O,1500000,0,20.30827778,1, ,0,Meter
3024,RT90_5_gon_O,1500000,0,22.55827778,1, ,0,Meter
3025,RT38_75_gon_V,1500000,0,11.30827778,1, ,0,Meter
3026,RT38_5_gon_V,1500000,0,13.55827778,1, ,0,Meter
3027,RT38_25_gon_V,1500000,0,15.80827778,1, ,0,Meter
3028,RT38_0_gon,1500000,0,18.05827778,1, ,0,Meter
3029,RT38_25_gon_O,1500000,0,20.30827778,1, ,0,Meter
3030,RT38_5_gon_O,1500000,0,22.55827778,1, ,0,Meter
3031,WGS_1984_Antarctic_Polar_Stereographic,0,0,0,-71,,,Meter
3032,WGS_1984_Australian_Antarctic_Polar_Stereographic,6000000,6000000,70,-71,,,Meter
3033,WGS_1984_Australian_Antarctic_Lambert,6000000,6000000,70,-68.5,-74.5,-50,Meter
3034,ETRS_1989_LCC,4000000,2800000,10,35,65,52,Meter
3035,ETRS_1989_LAEA,4321000,3210000,10,,,52,Meter
3036,Moznet_UTM_Zone_36S,500000,10000000,33,0.9996, ,0,Meter
3037,Moznet_UTM_Zone_37S,500000,10000000,39,0.9996, ,0,Meter
3054,Hjorsey_1955_UTM_Zone_26N,500000,0,-27,0.9996, ,0,Meter
3055,Hjorsey_1955_UTM_Zone_27N,500000,0,-21,0.9996, ,0,Meter
3056,Hjorsey_1955_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
3057,ISN_1993_Lambert_1993,500000,500000,-19,64.25,65.75,65,Meter
3058,Helle_1954_Jan_Mayen_Grid,50000,-7800000,-8.5,1, ,0,Meter
3059,LKS_1992_Latvia_TM,500000,-6000000,24,0.9996, ,0,Meter
3061,Porto_Santo_1995_UTM_Zone_28N,500000,0,-15,0.9996, ,0,Meter
3062,Azores_Oriental_1995_UTM_Zone_26N,500000,0,-27,0.9996, ,0,Meter
3063,Azores_Central_1995_UTM_Zone_26N,500000,0,-27,0.9996, ,0,Meter
3064,IGM_1995_UTM_Zone_32N,500000,0,9,0.9996, ,0,Meter
3065,IGM_1995_UTM_Zone_33N,500000,0,15,0.9996, ,0,Meter
3066,ED_1950_Jordan_TM,500000,-3000000,37,0.9998, ,0,Meter
3067,EUREF_FIN_TM35FIN,500000,0,27,0.9996, ,0,Meter
3068,DHDN_Soldner_Berlin,40000,10000,13.62720367,1, ,52.41864828,Meter
3069,NAD_1927_Wisconsin_TM,500000,-4500000,-90,0.9996, ,0,Meter
3070,NAD_1983_Wisconsin_TM,520000,-4480000,-90,0.9996, ,0,Meter
3071,NAD_1983_HARN_Wisconsin_TM,520000,-4480000,-90,0.9996, ,0,Meter
3072,NAD_1983_Maine_2000_East_Zone,700000,0,-67.875,0.99998, ,43.83333333,Meter
3073,NAD_1983_Maine_2000_Central_Zone,500000,0,-69.125,0.99998, ,43.5,Meter
3074,NAD_1983_Maine_2000_West_Zone,300000,0,-70.375,0.99998, ,42.83333333,Meter
3075,NAD_1983_HARN_Maine_2000_East_Zone,700000,0,-67.875,0.99998, ,43.83333333,Meter
3076,NAD_1983_HARN_Maine_2000_Central_Zone,500000,0,-69.125,0.99998, ,43.5,Meter
3077,NAD_1983_HARN_Maine_2000_West_Zone,300000,0,-70.375,0.99998, ,42.83333333,Meter
3078,NAD_1983_Michigan_GeoRef_Meters,2546731.496,-4354009.816,0.9996,337.25556,-86,45.30916667,Meter
3079,NAD_1983_HARN_Michigan_GeoRef_Meters,2546731.496,-4354009.816,0.9996,337.25556,-86,45.30916667,Meter
3080,NAD_1927_Texas_Statewide_Mapping_System,3000000,3000000,-100,27.41666667,34.91666667,31.16666667,Foot
